plot_id,grove_name,yr_installed,read24,src,geometry
REMO-PLANT-30,REMO,2023,Yes,gps,"c(329396.999999456, 4061355.99999986)"
REMO-PLANT-33,REMO,2023,Yes,gps,"c(329062.527125866, 4062209.9184131)"
REMO-PLANT-34,REMO,2023,Yes,gps,"c(329335.450990802, 4061000.02054042)"
REMO-PLANT-37,REMO,2023,Yes,gps,"c(329298.149734891, 4060796.98770641)"
REMO-PLANT-38,REMO,2023,Yes,gps,"c(330123.881620451, 4061420.86910439)"
REMO-PLANT-39,REMO,2023,Yes,gps,"c(330420.762426254, 4060956.05006868)"
REMO-PLANT-41,REMO,2023,Yes,gps,"c(327728.626252646, 4061085.89887441)"
REMO-PLANT-42,REMO,2023,Yes,gps,"c(329435.241470757, 4062051.65282578)"
REMO-PLANT-43,REMO,2023,Yes,gps,"c(327482.889744769, 4061544.1288478)"
REMO-PLANT-44,REMO,2023,Yes,gps,"c(329244.478446268, 4061894.18659308)"
REMO-PLANT-45,REMO,2023,Yes,gps,"c(330325.999999465, 4061314.99999987)"
REMO-PLANT-46,REMO,2023,Yes,gps,"c(329468.475607394, 4061772.40825373)"
REMO-PLANT-48,REMO,2023,Yes,gps,"c(330366.08564004, 4060686.87595448)"
REMO-PLANT-50,REMO,2023,Yes,gps,"c(330367.28457248, 4061420.15222283)"
SECR-PILE-01,SECR,2023,Yes,arrow,"c(323587.870343342, 4066947.83765002)"
SECR-PILE-02,SECR,2023,Yes,arrow,"c(323699.75120757, 4066918.78055161)"
SECR-PILE-03,SECR,2023,Yes,arrow,"c(323545.94424669, 4066834.04550336)"
SECR-PILE-04,SECR,2023,Yes,arrow,"c(323388.901135927, 4066770.1358601)"
SECR-THIN-01,SECR,2023,Yes,arrow,"c(323132.402866289, 4066999.31350262)"
SECR-THIN-02,SECR,2023,Yes,arrow,"c(323200.041647336, 4066943.52730227)"
SECR-THIN-03,SECR,2023,Yes,arrow,"c(323284.72922097, 4066891.27415686)"
SECR-THIN-04,SECR,2023,Yes,arrow,"c(323228.442515964, 4066813.40937902)"
SECR-THIN-05,SECR,2023,Yes,arrow,"c(323220.411719997, 4066666.95149819)"
